Day,Sold Units,Restocked Units,Available Units
0,0,2000,2000
1,14,0,1986
2,21,0,1965
3,159,0,1806
4,151,0,1655
5,197,0,1458
6,76,0,1382
7,0,618,2000
8,95,0,1905
9,130,0,1775
10,179,0,1596
11,33,0,1563
12,36,0,1527
13,20,0,1507
14,0,493,2000
15,15,0,1985
16,48,0,1937
17,14,0,1923
18,82,0,1841
19,164,0,1677
20,177,0,1500
21,0,500,2000
22,113,0,1887
23,79,0,1808
24,119,0,1689
25,143,0,1546
26,194,0,1352
27,10,0,1342
28,0,658,2000
29,133,0,1867
30,34,0,1833
31,41,0,1792
32,62,0,1730
33,5,0,1725
34,63,0,1662
35,0,338,2000
36,49,0,1951
37,143,0,1808
38,77,0,1731
39,165,0,1566
40,101,0,1465
41,119,0,1346
42,0,654,2000
43,39,0,1961
44,112,0,1849
45,65,0,1784
46,35,0,1749
47,82,0,1667
48,46,0,1621
49,0,379,2000
